genres_list,avg_sentiment,n_movies
Action,0.12064732807325027,57
Adventure,0.17179154987310832,32
Animation,0.28641918921992165,9
Comedy,0.23307045825159955,61
Crime,0.09431135885838382,34
Documentary,0.09731168831168832,2
Drama,0.158024723147532,98
Family,0.28856501313464455,19
Fantasy,0.2160617350228551,26
Foreign,0.04804285714285715,1
History,0.1473430224202384,10
Horror,-0.003154642709465492,26
Music,0.2355379868002368,8
Mystery,0.07018657861884023,20
Romance,0.23086209999063784,40
Science Fiction,0.13819553785477356,26
TV Movie,,0
Thriller,0.07475478083205796,54
War,0.13036061837329405,6
Western,0.24784,1
